# Chunk-averaged data for fix avDen and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 2286 8360352
  1 -57.1214 1.57443 0.0867793
  2 -57.0714 1.67033 0.0920654
  3 -57.0214 1.65734 0.0913496
  4 -56.9714 1.61339 0.0889268
  5 -56.9214 1.55744 0.0858433
  6 -56.8714 1.59441 0.0878806
  7 -56.8214 1.50849 0.0831452
  8 -56.7714 1.55844 0.0858983
  9 -56.7214 1.58242 0.0872198
  10 -56.6714 1.47852 0.0814933
  11 -56.6214 1.6004 0.088211
  12 -56.5714 1.64436 0.0906337
  13 -56.5214 1.61738 0.089147
  14 -56.4714 1.62537 0.0895875
  15 -56.4214 1.62038 0.0893122
  16 -56.3714 1.6044 0.0884312
  17 -56.3214 1.6044 0.0884312
  18 -56.2714 1.55345 0.085623
  19 -56.2214 1.61738 0.089147
  20 -56.1714 1.53946 0.0848521
  21 -56.1214 1.58941 0.0876053
  22 -56.0714 1.61838 0.0892021
  23 -56.0214 1.61838 0.0892021
  24 -55.9714 1.61638 0.089092
  25 -55.9214 1.66334 0.0916799
  26 -55.8714 1.65934 0.0914597
  27 -55.8214 1.64935 0.0909091
  28 -55.7714 1.50849 0.0831452
  29 -55.7214 1.54146 0.0849623
  30 -55.6714 1.6004 0.088211
  31 -55.6214 1.58342 0.0872749
  32 -55.5714 1.58741 0.0874952
  33 -55.5214 1.60739 0.0885964
  34 -55.4714 1.63137 0.0899179
  35 -55.4214 1.67433 0.0922856
  36 -55.3714 1.61239 0.0888717
  37 -55.3214 1.57043 0.0865591
  38 -55.2714 1.53546 0.0846319
  39 -55.2214 1.51848 0.0836958
  40 -55.1714 1.58442 0.08733
  41 -55.1214 1.54645 0.0852376
  42 -55.0714 1.51648 0.0835857
  43 -55.0214 1.61239 0.0888717
  44 -54.9714 1.56643 0.0863388
  45 -54.9214 1.58841 0.0875502
  46 -54.8714 1.4955 0.0824294
  47 -54.8214 1.54046 0.0849072
  48 -54.7714 1.60939 0.0887065
  49 -54.7214 1.54146 0.0849623
  50 -54.6714 1.57642 0.0868895
  51 -54.6214 1.58142 0.0871648
  52 -54.5714 1.61139 0.0888167
  53 -54.5214 1.62837 0.0897527
  54 -54.4714 1.56643 0.0863388
  55 -54.4214 1.56444 0.0862287
  56 -54.3714 1.65734 0.0913496
  57 -54.3214 1.66533 0.0917901
  58 -54.2714 1.5994 0.0881559
  59 -54.2214 1.64735 0.0907989
  60 -54.1714 1.60739 0.0885964
  61 -54.1214 1.63137 0.0899179
  62 -54.0714 1.6014 0.088266
  63 -54.0214 1.55844 0.0858983
  64 -53.9714 1.62837 0.0897527
  65 -53.9214 1.64635 0.0907439
  66 -53.8714 1.53746 0.084742
  67 -53.8214 1.69031 0.0931666
  68 -53.7714 1.58442 0.08733
  69 -53.7214 1.56643 0.0863388
  70 -53.6714 1.64136 0.0904686
  71 -53.6214 1.61738 0.089147
  72 -53.5714 1.59041 0.0876603
  73 -53.5214 1.56244 0.0861186
  74 -53.4714 1.53347 0.0845217
  75 -53.4214 1.59241 0.0877705
  76 -53.3714 1.4955 0.0824294
  77 -53.3214 1.48951 0.082099
  78 -53.2714 1.67433 0.0922856
  79 -53.2214 1.56344 0.0861736
  80 -53.1714 1.57942 0.0870546
  81 -53.1214 1.56543 0.0862838
  82 -53.0714 1.56244 0.0861186
  83 -53.0214 1.64036 0.0904135
  84 -52.9714 1.56044 0.0860085
  85 -52.9214 1.62138 0.0893673
  86 -52.8714 1.66933 0.0920103
  87 -52.8214 1.5974 0.0880458
  88 -52.7714 1.54645 0.0852376
  89 -52.7214 1.54645 0.0852376
  90 -52.6714 1.62837 0.0897527
  91 -52.6214 1.54745 0.0852926
  92 -52.5714 1.57243 0.0866692
  93 -52.5214 1.5984 0.0881008
  94 -52.4714 1.6044 0.0884312
  95 -52.4214 1.50949 0.0832002
  96 -52.3714 1.54346 0.0850724
  97 -52.3214 1.54645 0.0852376
  98 -52.2714 1.51349 0.0834205
  99 -52.2214 1.47053 0.0810528
  100 -52.1714 1.53746 0.084742
  101 -52.1214 1.4985 0.0825945
  102 -52.0714 1.57043 0.0865591
  103 -52.0214 1.52048 0.0838059
  104 -51.9714 1.58042 0.0871097
  105 -51.9214 1.54745 0.0852926
  106 -51.8714 1.58142 0.0871648
  107 -51.8214 1.57243 0.0866692
  108 -51.7714 1.57842 0.0869996
  109 -51.7214 1.6004 0.088211
  110 -51.6714 1.66034 0.0915148
  111 -51.6214 1.58242 0.0872198
  112 -51.5714 1.6034 0.0883762
  113 -51.5214 1.59241 0.0877705
  114 -51.4714 1.60839 0.0886515
  115 -51.4214 1.73327 0.0955344
  116 -51.3714 1.66533 0.0917901
  117 -51.3214 1.64336 0.0905787
  118 -51.2714 1.60639 0.0885414
  119 -51.2214 1.60639 0.0885414
  120 -51.1714 1.63137 0.0899179
  121 -51.1214 1.65035 0.0909641
  122 -51.0714 1.57043 0.0865591
  123 -51.0214 1.74226 0.0960299
  124 -50.9714 1.61239 0.0888717
  125 -50.9214 1.60839 0.0886515
  126 -50.8714 1.60739 0.0885964
  127 -50.8214 1.56244 0.0861186
  128 -50.7714 1.61439 0.0889819
  129 -50.7214 1.56144 0.0860635
  130 -50.6714 1.63836 0.0903034
  131 -50.6214 1.59341 0.0878255
  132 -50.5714 1.63337 0.0900281
  133 -50.5214 1.58242 0.0872198
  134 -50.4714 1.68232 0.0927261
  135 -50.4214 1.68332 0.0927812
  136 -50.3714 1.74625 0.0962502
  137 -50.3214 1.64735 0.0907989
  138 -50.2714 1.67233 0.0921755
  139 -50.2214 1.71828 0.0947084
  140 -50.1714 1.62637 0.0896426
  141 -50.1214 1.57343 0.0867243
  142 -50.0714 1.61538 0.0890369
  143 -50.0214 1.73726 0.0957546
  144 -49.9714 1.67732 0.0924508
  145 -49.9214 1.64136 0.0904686
  146 -49.8714 1.71728 0.0946533
  147 -49.8214 1.66434 0.091735
  148 -49.7714 1.62038 0.0893122
  149 -49.7214 1.71429 0.0944882
  150 -49.6714 1.70829 0.0941578
  151 -49.6214 1.6973 0.0935521
  152 -49.5714 1.70629 0.0940477
  153 -49.5214 1.65435 0.0911844
  154 -49.4714 1.64635 0.0907439
  155 -49.4214 1.68432 0.0928363
  156 -49.3714 1.57143 0.0866141
  157 -49.3214 1.64036 0.0904135
  158 -49.2714 1.67133 0.0921204
  159 -49.2214 1.65235 0.0910743
  160 -49.1714 1.60839 0.0886515
  161 -49.1214 1.57942 0.0870546
  162 -49.0714 1.60939 0.0887065
  163 -49.0214 1.55544 0.0857331
  164 -48.9714 1.5984 0.0881008
  165 -48.9214 1.63437 0.0900831
  166 -48.8714 1.59241 0.0877705
  167 -48.8214 1.55544 0.0857331
  168 -48.7714 1.58442 0.08733
  169 -48.7214 1.62438 0.0895325
  170 -48.6714 1.69131 0.0932217
  171 -48.6214 1.59241 0.0877705
  172 -48.5714 1.57542 0.0868344
  173 -48.5214 1.62438 0.0895325
  174 -48.4714 1.68631 0.0929464
  175 -48.4214 1.59141 0.0877154
  176 -48.3714 1.61039 0.0887616
  177 -48.3214 1.6034 0.0883762
  178 -48.2714 1.59341 0.0878255
  179 -48.2214 1.57942 0.0870546
  180 -48.1714 1.53447 0.0845768
  181 -48.1214 1.63636 0.0901932
  182 -48.0714 1.65035 0.0909641
  183 -48.0214 1.67932 0.092561
  184 -47.9714 1.64835 0.090854
  185 -47.9214 1.67433 0.0922856
  186 -47.8714 1.6973 0.0935521
  187 -47.8214 1.62637 0.0896426
  188 -47.7714 1.62038 0.0893122
  189 -47.7214 1.63836 0.0903034
  190 -47.6714 1.62637 0.0896426
  191 -47.6214 1.61039 0.0887616
  192 -47.5714 1.68931 0.0931116
  193 -47.5214 1.67732 0.0924508
  194 -47.4714 1.67033 0.0920654
  195 -47.4214 1.61938 0.0892572
  196 -47.3714 1.64136 0.0904686
  197 -47.3214 1.57742 0.0869445
  198 -47.2714 1.66933 0.0920103
  199 -47.2214 1.58142 0.0871648
  200 -47.1714 1.65934 0.0914597
  201 -47.1214 1.75924 0.096966
  202 -47.0714 1.73626 0.0956995
  203 -47.0214 1.70929 0.0942128
  204 -46.9714 1.74625 0.0962502
  205 -46.9214 1.66533 0.0917901
  206 -46.8714 1.68232 0.0927261
  207 -46.8214 1.67333 0.0922306
  208 -46.7714 1.67333 0.0922306
  209 -46.7214 1.78322 0.0982875
  210 -46.6714 1.7023 0.0938274
  211 -46.6214 1.69231 0.0932768
  212 -46.5714 1.82817 0.100765
  213 -46.5214 1.68032 0.092616
  214 -46.4714 1.75125 0.0965255
  215 -46.4214 1.73427 0.0955894
  216 -46.3714 1.70629 0.0940477
  217 -46.3214 1.72927 0.0953141
  218 -46.2714 1.71928 0.0947635
  219 -46.2214 1.69431 0.0933869
  220 -46.1714 1.7043 0.0939375
  221 -46.1214 1.70629 0.0940477
  222 -46.0714 1.63636 0.0901932
  223 -46.0214 1.74326 0.096085
  224 -45.9714 1.68831 0.0930565
  225 -45.9214 1.6993 0.0936622
  226 -45.8714 1.66733 0.0919002
  227 -45.8214 1.75025 0.0964704
  228 -45.7714 1.7043 0.0939375
  229 -45.7214 1.71329 0.0944331
  230 -45.6714 1.71229 0.094378
  231 -45.6214 1.72727 0.095204
  232 -45.5714 1.74725 0.0963052
  233 -45.5214 1.69331 0.0933318
  234 -45.4714 1.68531 0.0928913
  235 -45.4214 1.68931 0.0931116
  236 -45.3714 1.76124 0.0970761
  237 -45.3214 1.74825 0.0963603
  238 -45.2714 1.75025 0.0964704
  239 -45.2214 1.71329 0.0944331
  240 -45.1714 1.79021 0.0986729
  241 -45.1214 1.76424 0.0972413
  242 -45.0714 1.70729 0.0941027
  243 -45.0214 1.67532 0.0923407
  244 -44.9714 1.65335 0.0911293
  245 -44.9214 1.61938 0.0892572
  246 -44.8714 1.67333 0.0922306
  247 -44.8214 1.69431 0.0933869
  248 -44.7714 1.68032 0.092616
  249 -44.7214 1.6963 0.093497
  250 -44.6714 1.6993 0.0936622
  251 -44.6214 1.7003 0.0937173
  252 -44.5714 1.74126 0.0959749
  253 -44.5214 1.65934 0.0914597
  254 -44.4714 1.67532 0.0923407
  255 -44.4214 1.59341 0.0878255
  256 -44.3714 1.65634 0.0912945
  257 -44.3214 1.67632 0.0923958
  258 -44.2714 1.68032 0.092616
  259 -44.2214 1.64336 0.0905787
  260 -44.1714 1.68332 0.0927812
  261 -44.1214 1.72328 0.0949837
  262 -44.0714 1.62937 0.0898078
  263 -44.0214 1.68531 0.0928913
  264 -43.9714 1.72028 0.0948185
  265 -43.9214 1.7003 0.0937173
  266 -43.8714 1.72727 0.095204
  267 -43.8214 1.69231 0.0932768
  268 -43.7714 1.76324 0.0971862
  269 -43.7214 1.73526 0.0956445
  270 -43.6714 1.82418 0.100545
  271 -43.6214 1.72128 0.0948736
  272 -43.5714 1.77423 0.0977919
  273 -43.5214 1.7023 0.0938274
  274 -43.4714 1.74326 0.096085
  275 -43.4214 1.76424 0.0972413
  276 -43.3714 1.76324 0.0971862
  277 -43.3214 1.6983 0.0936071
  278 -43.2714 1.85215 0.102087
  279 -43.2214 1.66533 0.0917901
  280 -43.1714 1.72927 0.0953141
  281 -43.1214 1.84116 0.101481
  282 -43.0714 1.79221 0.0987831
  283 -43.0214 1.77822 0.0980122
  284 -42.9714 1.74426 0.09614
  285 -42.9214 1.83017 0.100875
  286 -42.8714 1.7952 0.0989483
  287 -42.8214 1.85514 0.102252
  288 -42.7714 1.81119 0.0998293
  289 -42.7214 1.73327 0.0955344
  290 -42.6714 1.78222 0.0982324
  291 -42.6214 1.73626 0.0956995
  292 -42.5714 1.77023 0.0975717
  293 -42.5214 1.76523 0.0972964
  294 -42.4714 1.74925 0.0964154
  295 -42.4214 1.79021 0.0986729
  296 -42.3714 1.82018 0.100325
  297 -42.3214 1.77323 0.0977369
  298 -42.2714 1.83516 0.101151
  299 -42.2214 1.80919 0.0997191
  300 -42.1714 1.80819 0.0996641
  301 -42.1214 1.84715 0.101812
  302 -42.0714 1.8032 0.0993888
  303 -42.0214 1.92308 0.105996
  304 -41.9714 1.84416 0.101646
  305 -41.9214 1.84715 0.101812
  306 -41.8714 1.83616 0.101206
  307 -41.8214 1.84016 0.101426
  308 -41.7714 1.85814 0.102417
  309 -41.7214 1.83616 0.101206
  310 -41.6714 1.88412 0.103849
  311 -41.6214 1.87313 0.103243
  312 -41.5714 1.80519 0.0994989
  313 -41.5214 1.79321 0.0988381
  314 -41.4714 1.78721 0.0985078
  315 -41.4214 1.83417 0.101096
  316 -41.3714 1.7962 0.0990033
  317 -41.3214 1.91009 0.105281
  318 -41.2714 1.83117 0.100931
  319 -41.2214 1.78521 0.0983976
  320 -41.1714 1.82917 0.10082
  321 -41.1214 1.83217 0.100986
  322 -41.0714 1.87113 0.103133
  323 -41.0214 1.77423 0.0977919
  324 -40.9714 1.85614 0.102307
  325 -40.9214 1.77123 0.0976268
  326 -40.8714 1.81518 0.10005
  327 -40.8214 1.81618 0.100105
  328 -40.7714 1.82118 0.10038
  329 -40.7214 1.78721 0.0985078
  330 -40.6714 1.81419 0.0999945
  331 -40.6214 1.85415 0.102197
  332 -40.5714 1.83916 0.101371
  333 -40.5214 1.84515 0.101701
  334 -40.4714 1.87013 0.103078
  335 -40.4214 1.84016 0.101426
  336 -40.3714 1.85714 0.102362
  337 -40.3214 1.83417 0.101096
  338 -40.2714 1.84615 0.101756
  339 -40.2214 1.82218 0.100435
  340 -40.1714 1.77423 0.0977919
  341 -40.1214 1.76424 0.0972413
  342 -40.0714 1.83916 0.101371
  343 -40.0214 1.82218 0.100435
  344 -39.9714 1.82018 0.100325
  345 -39.9214 1.80919 0.0997191
  346 -39.8714 1.6963 0.093497
  347 -39.8214 1.78222 0.0982324
  348 -39.7714 1.7992 0.0991685
  349 -39.7214 1.82717 0.10071
  350 -39.6714 1.87512 0.103353
  351 -39.6214 1.80719 0.099609
  352 -39.5714 1.8971 0.104565
  353 -39.5214 1.81319 0.0999394
  354 -39.4714 1.83616 0.101206
  355 -39.4214 1.8042 0.0994438
  356 -39.3714 1.88112 0.103684
  357 -39.3214 1.84116 0.101481
  358 -39.2714 1.77822 0.0980122
  359 -39.2214 1.90609 0.10506
  360 -39.1714 1.80719 0.099609
  361 -39.1214 1.9011 0.104785
  362 -39.0714 1.82917 0.10082
  363 -39.0214 1.84216 0.101536
  364 -38.9714 1.85115 0.102032
  365 -38.9214 1.8032 0.0993888
  366 -38.8714 1.87512 0.103353
  367 -38.8214 1.81618 0.100105
