# Chunk-averaged data for fix avDen and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 2286 8360352
  158 -49.2714 1.46054 0.0805021
  159 -49.2214 1.48751 0.0819889
  160 -49.1714 1.45455 0.0801718
  161 -49.1214 1.53147 0.0844116
  162 -49.0714 1.53447 0.0845768
  163 -49.0214 1.50649 0.083035
  164 -48.9714 1.55644 0.0857882
  165 -48.9214 1.5984 0.0881008
  166 -48.8714 1.57842 0.0869996
  167 -48.8214 1.54046 0.0849072
  168 -48.7714 1.52547 0.0840812
  169 -48.7214 1.48851 0.0820439
  170 -48.6714 1.49251 0.0822642
  171 -48.6214 1.52248 0.0839161
  172 -48.5714 1.51848 0.0836958
  173 -48.5214 1.56144 0.0860635
  174 -48.4714 1.55145 0.0855129
  175 -48.4214 1.55245 0.0855679
  176 -48.3714 1.47852 0.0814933
  177 -48.3214 1.48951 0.082099
  178 -48.2714 1.46254 0.0806123
  179 -48.2214 1.53347 0.0845217
  180 -48.1714 1.46753 0.0808876
  181 -48.1214 1.55944 0.0859534
  182 -48.0714 1.55644 0.0857882
  183 -48.0214 1.51249 0.0833654
  184 -47.9714 1.52348 0.0839711
  185 -47.9214 1.4985 0.0825945
  186 -47.8714 1.45654 0.0802819
  187 -47.8214 1.44555 0.0796762
  188 -47.7714 1.5015 0.0827597
  189 -47.7214 1.46953 0.0809977
  190 -47.6714 1.51648 0.0835857
  191 -47.6214 1.58242 0.0872198
  192 -47.5714 1.51449 0.0834756
  193 -47.5214 1.51149 0.0833104
  194 -47.4714 1.46254 0.0806123
  195 -47.4214 1.51349 0.0834205
  196 -47.3714 1.55844 0.0858983
  197 -47.3214 1.55145 0.0855129
  198 -47.2714 1.53247 0.0844667
  199 -47.2214 1.55544 0.0857331
  200 -47.1714 1.55644 0.0857882
  201 -47.1214 1.66134 0.0915698
  202 -47.0714 1.63037 0.0898629
  203 -47.0214 1.62637 0.0896426
  204 -46.9714 1.58442 0.08733
  205 -46.9214 1.63437 0.0900831
  206 -46.8714 1.62737 0.0896977
  207 -46.8214 1.52947 0.0843015
  208 -46.7714 1.52448 0.0840262
  209 -46.7214 1.55345 0.085623
  210 -46.6714 1.55145 0.0855129
  211 -46.6214 1.56244 0.0861186
  212 -46.5714 1.60839 0.0886515
  213 -46.5214 1.43756 0.0792357
  214 -46.4714 1.51349 0.0834205
  215 -46.4214 1.58042 0.0871097
  216 -46.3714 1.57642 0.0868895
  217 -46.3214 1.51449 0.0834756
  218 -46.2714 1.52547 0.0840812
  219 -46.2214 1.59241 0.0877705
  220 -46.1714 1.48951 0.082099
  221 -46.1214 1.50549 0.08298
  222 -46.0714 1.51948 0.0837509
  223 -46.0214 1.47952 0.0815483
  224 -45.9714 1.54945 0.0854028
