# Chunk-averaged data for fix avDen and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 2286 8360352
  158 -49.2714 1.52248 0.0839161
  159 -49.2214 1.44655 0.0797313
  160 -49.1714 1.40859 0.0776389
  161 -49.1214 1.44356 0.0795661
  162 -49.0714 1.5025 0.0828148
  163 -49.0214 1.43956 0.0793458
  164 -48.9714 1.43756 0.0792357
  165 -48.9214 1.5025 0.0828148
  166 -48.8714 1.44356 0.0795661
  167 -48.8214 1.48851 0.0820439
  168 -48.7714 1.47752 0.0814382
  169 -48.7214 1.46454 0.0807224
  170 -48.6714 1.35365 0.0746104
  171 -48.6214 1.51049 0.0832553
  172 -48.5714 1.41159 0.0778041
  173 -48.5214 1.55445 0.0856781
  174 -48.4714 1.48052 0.0816034
  175 -48.4214 1.45754 0.080337
  176 -48.3714 1.49451 0.0823743
  177 -48.3214 1.41858 0.0781895
  178 -48.2714 1.55944 0.0859534
  179 -48.2214 1.48152 0.0816585
  180 -48.1714 1.53546 0.0846319
  181 -48.1214 1.46354 0.0806673
  182 -48.0714 1.47353 0.081218
  183 -48.0214 1.55045 0.0854578
  184 -47.9714 1.5045 0.0829249
  185 -47.9214 1.57842 0.0869996
  186 -47.8714 1.51848 0.0836958
  187 -47.8214 1.42957 0.0787952
  188 -47.7714 1.51848 0.0836958
  189 -47.7214 1.55145 0.0855129
  190 -47.6714 1.51848 0.0836958
  191 -47.6214 1.52348 0.0839711
  192 -47.5714 1.51449 0.0834756
  193 -47.5214 1.54146 0.0849623
  194 -47.4714 1.56344 0.0861736
  195 -47.4214 1.58142 0.0871648
  196 -47.3714 1.62837 0.0897527
  197 -47.3214 1.54246 0.0850173
  198 -47.2714 1.53946 0.0848521
  199 -47.2214 1.58142 0.0871648
  200 -47.1714 1.51349 0.0834205
  201 -47.1214 1.51249 0.0833654
  202 -47.0714 1.54446 0.0851274
  203 -47.0214 1.5954 0.0879357
  204 -46.9714 1.51049 0.0832553
  205 -46.9214 1.46254 0.0806123
  206 -46.8714 1.53047 0.0843566
  207 -46.8214 1.53247 0.0844667
