LAMMPS data file via write_data, version 2 Aug 2023, timestep = 300367, units = real

1200 atoms
2 atom types
800 bonds
1 bond types
400 angles
1 angle types

3.568848703922644 26.431151296078127 xlo xhi
3.568848703922644 26.431151296078127 ylo yhi
3.568848703922644 26.431151296078127 zlo zhi

Masses

1 15.9994
2 1.008

Pair Coeffs # lj/cut/coul/long

1 0.1553 3.166
2 0 1

Bond Coeffs # harmonic

1 500 1

Angle Coeffs # harmonic

1 100 109.47

Atoms # full

767 256 2 0.4238 6.037103603227418 3.760855427441083 10.559047310862127 1 0 0
322 108 1 -0.8476 6.9972373984577345 14.123632730839429 8.236228780827021 0 0 0
1096 366 1 -0.8476 9.189406998557118 9.28078028829214 11.932580604029079 1 1 0
1098 366 2 0.4238 9.474193648183238 9.775427988955263 11.111484804141838 1 1 0
517 173 1 -0.8476 10.167083511959875 7.444996840937144 4.26534311091579 0 1 0
807 269 2 0.4238 7.487934369366979 13.470532608534938 9.79450071768062 0 0 0
806 269 2 0.4238 8.52633832868824 12.523459274488676 10.625967428153777 0 0 0
69 23 2 0.4238 5.111463607995396 6.458697727985305 7.281825424499198 0 0 0
110 37 2 0.4238 9.237089438294266 10.650804443800764 8.662394066775963 1 0 0
109 37 1 -0.8476 8.553405408505855 10.240575309610108 8.058849797517432 1 0 0
1097 366 2 0.4238 8.448380021603608 8.650277609027253 11.701662461517596 1 1 0
324 108 2 0.4238 7.3339666591410095 13.53991104237019 7.497405151181989 0 0 0
1193 398 2 0.4238 7.2751725878149305 8.966090168713063 6.2015302695394565 1 1 1
940 314 1 -0.8476 8.506761556671844 12.37659720033297 6.1287918691890155 0 0 -1
942 314 2 0.4238 8.165318843491187 11.438864777589457 6.192450879156926 0 0 -1
111 37 2 0.4238 7.798631996071705 9.879888793544023 8.606754796749797 1 0 0
1192 398 1 -0.8476 6.977036694219218 9.706727562024536 5.599409505303675 1 1 1
1194 398 2 0.4238 6.015868322695171 9.573434822673642 5.3578170667357545 1 1 1
805 269 1 -0.8476 7.676580954113169 13.047745993048952 10.680865819874986 0 0 0
941 314 2 0.4238 9.095219518277602 12.57104465608155 6.913575247574113 0 0 -1
1170 390 2 0.4238 20.05362650399449 8.519255527970222 12.105647536107156 -1 1 0
168 56 2 0.4238 7.857788141692696 9.521984707297005 4.250303569899372 1 0 2
306 102 2 0.4238 9.791033093966572 10.005226136385371 13.819923717549468 -1 0 1
585 195 2 0.4238 6.667890605568829 8.659494087966129 10.511937864161911 1 0 1
583 195 1 -0.8476 6.496668344584728 9.168572955396138 9.668433326356913 1 0 1
