   2.00000000 -549.31703309 
   2.10000000 -549.32926396 
   2.20000000 -549.33831452 
   2.30000000 -549.34485876 
   2.40000000 -549.34948145 
   2.50000000 -549.35266669 
   2.60000000 -549.35480232 
   2.70000000 -549.35619150 
   2.80000000 -549.35706481 
   2.90000000 -549.35759187 
   3.00000000 -549.35789173 
   3.10000000 -549.35804424 
   3.20000000 -549.35810088 
   3.30000000 -549.35809431 
   3.40000000 -549.35804575 
   3.50000000 -549.35797039 
   3.60000000 -549.35787973 
   3.70000000 -549.35778319 
   3.80000000 -549.35768834 
   3.90000000 -549.35760089 
   4.00000000 -549.35752465 
   4.10000000 -549.35746164 
   4.20000000 -549.35741237 
   4.30000000 -549.35737625 
   4.40000000 -549.35735194 
   4.50000000 -549.35733775 
   4.60000000 -549.35733189 
   4.70000000 -549.35733266 
   4.80000000 -549.35733851 
   4.90000000 -549.35734834 
   5.00000000 -549.35736107 
   5.10000000 -549.35737591 
   5.20000000 -549.35739225 
   5.30000000 -549.35740963 
   5.40000000 -549.35742771 
   5.50000000 -549.35744623 
   5.60000000 -549.35746499 
   5.70000000 -549.35748384 
   5.80000000 -549.35750265 
   5.90000000 -549.35752134 
   6.00000000 -549.35753983 
   6.10000000 -549.35755806 
   6.20000000 -549.35757598 
   6.30000000 -549.35759357 
   6.40000000 -549.35761078 
   6.50000000 -549.35762760 
   6.60000000 -549.35764402 
   6.70000000 -549.35766001 
   6.80000000 -549.35767558 
   6.90000000 -549.35769071 
   7.00000000 -549.35770541 
   7.10000000 -549.35771968 
   7.20000000 -549.35773353 
   7.30000000 -549.35774695 
   7.40000000 -549.35775995 
   7.50000000 -549.35777254 
   7.60000000 -549.35778473 
   7.70000000 -549.35779652 
   7.80000000 -549.35780793 
   7.90000000 -549.35781897 
   8.00000000 -549.35782964 
   8.10000000 -549.35783995 
   8.20000000 -549.35784993 
   8.30000000 -549.35785956 
   8.40000000 -549.35786887 
   8.50000000 -549.35787787 
   8.60000000 -549.35788657 
   8.70000000 -549.35789497 
   8.80000000 -549.35790308 
   8.90000000 -549.35791092 
   9.00000000 -549.35791850 
   9.10000000 -549.35792582 
   9.20000000 -549.35793289 
   9.30000000 -549.35793973 
   9.40000000 -549.35794633 
   9.50000000 -549.35795271 
   9.60000000 -549.35795888 
   9.70000000 -549.35796484 
   9.80000000 -549.35797060 
   9.90000000 -549.35797617 
  10.00000000 -549.35798155 
